Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0.25,4950,0.0,125.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.75,1993,1625.0,113.0,180.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,6080,2569.0,182.0,360.0,0.8596491228070176,0,1,0,1,1,0,1,0,1,0,0
0.5,4283,3000.0,172.0,84.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.5,3399,1640.0,111.0,180.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,6500,0.0,105.0,360.0,0.0,0,1,1,0,1,0,1,0,1,0,0
0.75,5780,0.0,192.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,3900,0.0,90.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,4000,2500.0,140.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,2917,0.0,84.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,4166,0.0,44.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,3625,0.0,108.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.5,2239,2524.0,128.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,2500,2118.0,104.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,1809,1868.0,90.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3750,4750.0,176.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,3103,1300.0,80.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,3917,0.0,124.0,360.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,3948,1733.0,149.0,360.0,0.0,0,1,0,1,1,0,1,0,1,0,0
0.75,7583,0.0,187.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
1.0,2666,2083.0,95.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,3427,0.0,138.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,2833,1857.0,126.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,3583,0.0,96.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,4000,2275.0,144.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,2383,2138.0,58.0,360.0,0.8596491228070176,0,1,0,1,1,0,1,0,1,0,0
0.25,4895,0.0,102.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,5417,0.0,143.0,480.0,0.0,1,0,1,0,1,0,1,0,0,0,1
0.5,11250,0.0,196.0,360.0,0.8596491228070176,0,1,1,0,1,0,1,0,0,1,0
0.75,3859,0.0,96.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3250,0.0,170.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,6333,4583.0,259.0,360.0,0.8596491228070176,0,1,0,1,1,0,1,0,0,1,0
0.25,4652,3583.0,140.11666666666667,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2439,3333.0,129.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2132,1591.0,96.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
