Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0.25,2333,2417.0,136.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2378,0.0,9.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,2400,0.0,75.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,0,1
0.25,4230,0.0,112.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,2600,1717.0,99.0,300.0,1.0,1,0,1,0,1,0,0,1,0,1,0
0.25,2330,4486.0,100.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,2500,20000.0,103.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,4188,0.0,115.0,180.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.5,3089,1280.0,121.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3814,1483.0,124.0,300.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,4310,0.0,130.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,1,0
0.25,2000,0.0,148.00425531914894,360.0,1.0,0,1,1,0,0,1,1,0,0,0,1
0.25,1811,1666.0,54.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,4350,0.0,154.0,360.0,1.0,1,0,1,0,0,1,1,0,1,0,0
0.25,5417,0.0,168.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.75,2192,1742.0,45.0,360.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,16120,0.0,260.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.25,3000,3416.0,56.0,180.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2987,0.0,88.0,360.0,0.0,0,1,1,0,1,0,1,0,0,1,0
0.75,6000,0.0,205.0,240.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.5,2750,1842.0,115.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
1.0,5703,0.0,128.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,5417,4196.0,267.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.25,3173,3021.0,137.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,7200,0.0,120.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.5,4666,0.0,135.0,360.0,1.0,1,0,0,1,1,0,1,0,0,0,1
0.25,10000,0.0,214.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,6133,3906.0,324.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,4600,0.0,73.0,180.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,3333,2000.0,99.0,360.0,0.8351893095768375,0,1,0,1,0,1,1,0,0,1,0
0.25,5726,4595.0,258.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3596,0.0,100.0,240.0,0.8351893095768375,0,1,1,0,0,1,1,0,0,0,1
0.25,2500,0.0,96.0,480.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,6782,0.0,148.00425531914894,360.0,0.8351893095768375,0,1,1,0,1,0,1,0,0,0,1
0.25,5829,0.0,138.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
1.0,8750,4996.0,130.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3539,1376.0,55.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,6277,0.0,118.0,360.0,0.0,0,1,1,0,1,0,1,0,1,0,0
0.25,5923,2054.0,211.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2138,0.0,99.0,360.0,0.0,1,0,1,0,1,0,1,0,0,1,0
0.75,2500,4600.0,176.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.75,3276,484.0,135.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,1,0
0.5,5285,1430.0,161.0,360.0,0.0,0,1,0,1,0,1,1,0,0,1,0
0.25,20667,0.0,148.00425531914894,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,3159,461.0,108.0,84.0,1.0,0,1,0,1,1,0,1,0,0,0,1
1.0,2071,754.0,94.0,480.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,3975,2531.0,55.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
1.0,3173,0.0,74.0,360.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,7085,0.0,84.0,360.0,1.0,0,1,1,0,1,0,0,1,0,1,0
0.25,645,3683.0,113.0,480.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.5,4583,1508.0,128.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,8566,0.0,210.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,9508,0.0,187.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,10000,1666.0,225.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.25,2958,2900.0,131.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3189,2598.0,120.0,341.08559498956157,1.0,0,1,1,0,0,1,1,0,1,0,0
0.25,2058,2134.0,88.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,0,1
0.5,2769,1542.0,190.0,360.0,0.8351893095768375,0,1,1,0,0,1,0,1,0,1,0
0.25,7333,8333.0,175.0,300.0,0.8351893095768375,0,1,0,1,1,0,1,0,1,0,0
0.25,2625,6250.0,187.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2900,0.0,71.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.25,2083,4083.0,160.0,360.0,0.8351893095768375,0,1,0,1,1,0,0,1,0,1,0
0.25,6250,0.0,128.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3069,0.0,71.0,480.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,3510,0.0,76.0,360.0,0.0,1,0,1,0,1,0,1,0,0,0,1
0.25,2645,3440.0,120.0,360.0,0.0,1,0,0,1,1,0,1,0,0,0,1
0.25,2479,0.0,59.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,3833,0.0,110.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.75,11757,0.0,187.0,180.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,6000,0.0,140.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.75,2031,1632.0,113.0,480.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.5,4692,0.0,106.0,360.0,1.0,0,1,1,0,1,0,0,1,1,0,0
0.25,2526,1783.0,145.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,2720,0.0,80.0,341.08559498956157,0.0,1,0,1,0,0,1,1,0,0,0,1
0.25,2454,2333.0,181.0,360.0,0.0,0,1,0,1,0,1,1,0,0,0,1
0.25,5166,0.0,128.0,360.0,1.0,0,1,1,0,1,0,0,1,0,1,0
1.0,3036,2504.0,158.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,5050,0.0,118.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
1.0,3400,2500.0,123.0,360.0,0.0,0,1,0,1,1,0,1,0,1,0,0
0.25,10408,0.0,259.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.75,8000,0.0,200.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,20233,0.0,480.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,3013,3033.0,95.0,300.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,0,1
0.5,18333,0.0,500.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
1.0,3333,2166.0,130.0,360.0,0.8351893095768375,0,1,0,1,0,1,0,1,0,1,0
0.25,3727,1775.0,131.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,14683,2100.0,304.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3775,0.0,110.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,5818,2160.0,184.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.25,10833,0.0,234.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3062,1987.0,111.0,180.0,0.0,0,1,1,0,1,0,1,0,0,0,1
0.25,5000,2541.0,151.0,480.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.5,2492,2375.0,148.00425531914894,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
1.0,9504,0.0,275.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.5,6000,0.0,160.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,1,0,0
0.25,7901,1833.0,180.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,4354,0.0,136.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,13650,0.0,148.00425531914894,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,16692,0.0,110.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,5468,1032.0,26.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,5042,2083.0,185.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,2583,2330.0,125.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3858,0.0,76.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,2213,0.0,66.0,360.0,1.0,1,0,1,0,0,1,1,0,1,0,0
1.0,4931,0.0,128.0,360.0,0.8351893095768375,0,1,0,1,0,1,1,0,0,1,0
0.25,2346,1600.0,132.0,360.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.75,4167,1447.0,158.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.5,5250,688.0,160.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
1.0,81000,0.0,360.0,360.0,0.0,0,1,0,1,1,0,1,0,1,0,0
0.25,6000,0.0,141.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.5,33846,0.0,260.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,4124,0.0,115.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,4408,0.0,120.0,360.0,1.0,1,0,1,0,0,1,1,0,0,1,0
0.75,8333,0.0,246.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,8300,0.0,152.0,300.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,10047,0.0,148.00425531914894,240.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,12876,0.0,405.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.5,9538,0.0,187.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,4200,1430.0,129.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.25,2755,0.0,65.0,300.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.25,1863,1041.0,98.0,360.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,4547,0.0,115.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.75,4652,0.0,110.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.25,5000,0.0,103.0,360.0,0.0,1,0,1,0,1,0,1,0,0,1,0
0.5,6400,7250.0,180.0,360.0,0.0,0,1,0,1,1,0,1,0,0,0,1
0.5,3875,0.0,67.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3033,1459.0,95.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,14583,0.0,185.0,180.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,1853,2840.0,114.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,3762,1666.0,135.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.5,1538,1425.0,30.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,8799,0.0,258.0,360.0,0.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2583,2358.0,120.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,4695,0.0,96.0,341.08559498956157,1.0,0,1,0,1,0,1,0,1,0,0,1
0.25,11146,0.0,136.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2875,1750.0,105.0,360.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.75,1958,1456.0,60.0,300.0,0.8351893095768375,0,1,0,1,0,1,1,0,0,0,1
0.25,20166,0.0,650.0,480.0,0.8351893095768375,0,1,1,0,1,0,0,1,0,0,1
0.25,6950,0.0,175.0,180.0,1.0,0,1,1,0,1,0,0,1,0,1,0
0.25,9560,0.0,191.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.25,3416,2816.0,113.0,360.0,0.8351893095768375,1,0,0,1,1,0,1,0,0,1,0
0.75,16525,1014.0,150.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.5,3155,1779.0,140.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3246,1417.0,138.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,5955,5625.0,315.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3704,2000.0,120.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,3357,2859.0,144.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,6045,0.0,115.0,360.0,0.0,0,1,1,0,0,1,1,0,1,0,0
0.25,4680,2087.0,148.00425531914894,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,4917,0.0,130.0,360.0,0.0,0,1,1,0,1,0,1,0,1,0,0
0.75,3987,1411.0,157.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
1.0,15000,0.0,300.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,3100,1400.0,113.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,3153,1560.0,134.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3598,1287.0,100.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.25,2165,0.0,70.0,360.0,1.0,1,0,1,0,0,1,1,0,0,1,0
0.25,1025,5500.0,216.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,1,0,0
0.25,3180,0.0,71.0,360.0,0.0,1,0,1,0,1,0,1,0,0,0,1
0.75,2957,0.0,81.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,4566,0.0,100.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,1442,0.0,35.0,360.0,1.0,0,1,1,0,0,1,1,0,0,0,1
0.75,3750,2083.0,120.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.75,4006,1526.0,168.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2333,1451.0,102.0,480.0,0.0,0,1,1,0,0,1,1,0,0,0,1
1.0,5516,11300.0,495.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3541,0.0,112.0,360.0,0.8351893095768375,1,0,1,0,1,0,1,0,0,1,0
0.75,2947,1603.0,148.00425531914894,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,1378,1881.0,167.0,360.0,1.0,1,0,0,1,1,0,1,0,0,0,1
0.5,8624,0.0,150.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0
0.5,2491,2054.0,104.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,4160,0.0,71.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,5821,0.0,144.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,4583,2083.0,160.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.75,7948,7166.0,480.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.75,9703,0.0,112.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2213,1125.0,148.00425531914894,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2149,3237.0,178.0,360.0,0.0,1,0,0,1,0,1,1,0,0,1,0
0.5,1958,2436.0,131.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.5,7787,0.0,240.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.25,3459,0.0,25.0,120.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.5,10513,3850.0,160.0,180.0,0.0,0,1,0,1,1,0,0,1,0,0,1
0.5,2600,0.0,160.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.5,8080,2250.0,180.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2383,3334.0,172.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3418,0.0,127.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,2484,2302.0,137.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,7578,1010.0,175.0,341.08559498956157,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,4288,3263.0,133.0,180.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,2577,3750.0,152.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.75,3283,2035.0,148.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,2876,1560.0,90.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.75,2889,0.0,45.0,180.0,0.0,0,1,0,1,0,1,1,0,0,0,1
0.25,3074,1800.0,123.0,360.0,0.0,0,1,0,1,0,1,1,0,0,1,0
0.25,4333,2451.0,110.0,360.0,1.0,1,0,0,1,1,0,1,0,0,0,1
0.25,4095,3447.0,151.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,5746,0.0,255.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,0,1
0.25,3075,2416.0,139.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2297,1522.0,104.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,9328,0.0,188.0,180.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.5,4606,0.0,81.0,360.0,1.0,1,0,1,0,0,1,1,0,1,0,0
0.5,2510,1983.0,140.0,180.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,3000,0.0,66.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.25,5000,0.0,132.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.75,4708,1387.0,150.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,2014,2925.0,113.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,3200,700.0,70.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,4683,1915.0,185.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.5,4723,0.0,81.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.25,4166,0.0,116.0,360.0,0.0,1,0,1,0,1,0,1,0,0,1,0
0.25,1828,1330.0,100.0,341.08559498956157,0.0,0,1,0,1,1,0,1,0,0,0,1
0.75,6250,5654.0,188.0,180.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,9083,0.0,228.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,12841,10968.0,349.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2935,0.0,98.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.75,6633,0.0,148.00425531914894,360.0,0.0,0,1,0,1,1,0,0,1,1,0,0
0.25,1836,33837.0,90.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,2764,1459.0,110.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,2500,0.0,55.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.75,4283,2383.0,127.0,360.0,0.8351893095768375,1,0,0,1,1,0,1,0,0,1,0
0.25,2507,0.0,56.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.25,3692,0.0,93.0,360.0,0.8351893095768375,1,0,1,0,1,0,1,0,1,0,0
0.25,1759,3541.0,131.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,14866,0.0,70.0,360.0,1.0,1,0,0,1,1,0,1,0,0,0,1
0.25,4166,7210.0,184.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,8334,0.0,160.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,5333,1131.0,186.0,360.0,0.8351893095768375,0,1,0,1,0,1,1,0,0,0,1
0.75,2045,1619.0,101.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2275,2067.0,148.00425531914894,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,8333,3167.0,165.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2499,2458.0,160.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3846,0.0,111.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
0.75,11417,1126.0,225.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3333,2500.0,128.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3125,2583.0,170.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,11000,0.0,83.0,360.0,1.0,0,1,1,0,1,0,0,1,0,0,1
0.25,3500,1667.0,114.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,6000,0.0,156.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,16250,0.0,192.0,360.0,0.0,0,1,1,0,1,0,0,1,0,0,1
0.5,5500,1260.0,170.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,9323,0.0,75.0,180.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,6400,0.0,200.0,360.0,1.0,0,1,1,0,1,0,0,1,1,0,0
0.25,6256,0.0,160.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,0,0,1
1.0,4691,0.0,100.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,7441,0.0,194.0,360.0,1.0,1,0,1,0,1,0,0,1,1,0,0
